Time(s),MeasuredVoltage(V),Current(A),Capacitance(F)
0,0,3.27829758873981e-06,0
0.001,0,7.81518642389025e-06,0
0.002,0,2.88378552747267e-06,0
0.003,0,-4.74344730262183e-06,0
0.004,0,-2.24487110467323e-06,0
0.005,0,-1.192838999815e-06,0
0.006,0,-1.71885505384048e-06,0
0.007,0,-5.35318927788714e-07,0
0.008,0,-9.9558297873169e-07,0
0.009,0,1.30573730050066e-06,0
0.01,0,-3.42840720738929e-06,0
0.011,0,-8.35980746232985e-06,0
0.012,0,-4.08592725748915e-06,0
0.013,0,3.14679356811614e-06,0
0.014,0,9.76977256854222e-07,0
0.015,0,1.22201149236961e-07,0
0.016,0,2.42352145828308e-06,0
0.017,0,9.76977256854222e-07,0
0.018,0,1.10848127416237e-06,0
0.019,0,-2.0476150859849e-06,0
0.02,0,2.48927346801647e-06,0
0.021,0,7.15766628792864e-06,0
0.022,0,3.21254557840281e-06,0
0.023,0,-3.8229192380456e-06,0
0.024,0,-1.65310304726196e-06,0
0.025,0,-6.01070935216213e-07,0
0.026,0,-1.32434301362085e-06,0
0.027,0,-7.32574949921261e-07,0
0.028,0,-1.12708699283717e-06,0
0.029,0,1.70024935453176e-06,0
0.03,0,-2.63938314070439e-06,0
0.031,0,-7.83379144838854e-06,0
0.032,0,-3.69141522802567e-06,0
0.033,0,3.60705764118005e-06,0
0.034,0,9.76977256854222e-07,0
0.035,0,-8.64078964426401e-07,0
0.036,0,8.45473239746608e-07,0
0.037,0,-2.06558889901171e-07,0
0.038,0,7.79721231267982e-07,0
0.039,0,-1.52159903395524e-06,0
0.04,0,3.40980160956485e-06,0
0.041,0,8.2096985079029e-06,0
0.042,0,3.47555362005289e-06,0
0.043,0,-3.88867124298101e-06,0
0.044,0,-2.37637511688291e-06,0
0.045,0,-1.65310304726196e-06,0
0.046,0,-2.31062311080298e-06,0
0.047,0,-1.25859100674289e-06,0
0.048,0,-1.52159903395524e-06,0
0.049,0,1.56874533632066e-06,0
0.05,0,-2.63938314070439e-06,0
0.051,0,-7.63653544234674e-06,0
0.052,0,-4.34893527613794e-06,0
0.053,0,2.94953753755807e-06,0
0.054,0,1.04272926548323e-06,0
0.055,0,-4.03814912783718e-07,0
0.056,0,2.35776944859995e-06,0
0.057,0,1.3714893093804e-06,0
0.058,0,1.83175337294363e-06,0
0.059,0,-1.52159903395524e-06,0
0.06,0,2.55502547780013e-06,0
0.061,0,7.28917031471524e-06,0
0.062,0,3.08104155787979e-06,0
0.063,0,-3.8229192380456e-06,0
0.064,0,-2.0476150859849e-06,0
0.065,0,-8.64078964426401e-07,0
0.066,0,-1.71885505384048e-06,0
0.067,0,-7.98326957198819e-07,0
0.068,0,-1.192838999815e-06,0
0.069,0,1.04272926548323e-06,0
0.07,0,-3.29690319677273e-06,0
0.071,0,-7.8995434503038e-06,0
0.072,0,-3.88867124298101e-06,0
0.073,0,3.93581769487954e-06,0
0.074,0,1.76600136371259e-06,0
0.075,0,-7.505487439603e-08,0
0.076,0,2.29201743896708e-06,0
0.077,0,4.50961189626431e-07,0
0.078,0,6.48217214461066e-07,0
0.079,0,-2.0476150859849e-06,0
0.08,0,2.29201743896708e-06,0
0.081,0,6.96041024812892e-06,0
0.082,0,3.34404959912716e-06,0
0.083,0,-3.88867124298101e-06,0
0.084,0,-1.98186307965575e-06,0
0.085,0,-1.12708699283717e-06,0
0.086,0,-2.31062311080298e-06,0
0.087,0,-9.29830971604029e-07,0
0.088,0,-8.64078964426401e-07,0
0.089,0,2.09476141036993e-06,0
0.09,0,-1.85035906684787e-06,0
0.091,0,-6.71600740827646e-06,0
0.092,0,-3.69141522802567e-06,0
0.093,0,3.60705764118005e-06,0
0.094,0,1.04272926548323e-06,0
0.095,0,-7.32574949921261e-07,0
0.096,0,1.96325739155634e-06,0
0.097,0,1.87953157214726e-07,0
0.098,0,9.76977256854222e-07,0
0.099,0,-1.58735104063354e-06,0
0.1,0,2.68652949751829e-06,0
0.101,0,7.74943441006581e-06,0
0.102,0,2.81803351743758e-06,0
0.103,0,-5.00645531928543e-06,0
0.104,0,-2.77088715231629e-06,0
0.105,0,-1.58735104063354e-06,0
0.106,0,-1.71885505384048e-06,0
0.107,0,-6.66822942593726e-07,0
0.108,0,-8.64078964426401e-07,0
0.109,0,1.96325739155634e-06,0
0.11,0,-2.31062311080298e-06,0
0.111,0,-7.24202342893054e-06,0
0.112,0,-3.88867124298101e-06,0
0.113,0,3.7385616625087e-06,0
0.114,0,1.23998529167108e-06,0
0.115,0,-2.72310897578704e-07,0
0.116,0,2.88378552747267e-06,0
0.117,0,1.04272926548323e-06,0
0.118,0,9.76977256854222e-07,0
0.119,0,-2.37637511688291e-06,0
0.12,0,1.89750538222488e-06,0
0.121,0,7.48642635527542e-06,0
0.122,0,3.40980160956485e-06,0
0.123,0,-3.95442324786675e-06,0
0.124,0,-1.58735104063354e-06,0
0.125,0,-1.40806882173616e-07,0
0.126,0,-9.9558297873169e-07,0
0.127,0,-6.66822942593726e-07,0
0.128,0,-8.64078964426401e-07,0
0.129,0,2.09476141036993e-06,0
0.13,0,-2.37637511688291e-06,0
0.131,0,-7.17627142652169e-06,0
0.132,0,-3.88867124298101e-06,0
0.133,0,3.67280965181919e-06,0
0.134,0,1.17423328289164e-06,0
0.135,0,-9.29830971604029e-07,0
0.136,0,1.56874533632066e-06,0
0.137,0,1.87953157214726e-07,0
0.138,0,7.13969222839467e-07,0
0.139,0,-1.91611107327674e-06,0
0.14,0,2.68652949751829e-06,0
0.141,0,8.07819447969559e-06,0
0.142,0,3.67280965181919e-06,0
0.143,0,-3.95442324786675e-06,0
0.144,0,-2.17911909849363e-06,0
0.145,0,-7.32574949921261e-07,0
0.146,0,-1.3900950204489e-06,0
0.147,0,-8.64078964426401e-07,0
0.148,0,-7.32574949921261e-07,0
0.149,0,2.22626542938445e-06,0
0.15,0,-2.17911909849363e-06,0
0.151,0,-7.4392794358608e-06,0
0.152,0,-4.87495131105283e-06,0
0.153,0,2.62077748763407e-06,0
0.154,0,7.13969222839467e-07,0
0.155,0,-9.29830971604029e-07,0
0.156,0,2.48927346801647e-06,0
0.157,0,9.76977256854222e-07,0
0.158,0,1.70024935453176e-06,0
0.159,0,-9.9558297873169e-07,0
0.16,0,3.08104155787979e-06,0
0.161,0,8.14394649377385e-06,0
0.162,0,3.7385616625087e-06,0
0.163,0,-3.88867124298101e-06,0
0.164,0,-2.17911909849363e-06,0
0.165,0,-9.9558297873169e-07,0
0.166,0,-1.78460706036911e-06,0
0.167,0,-1.32434301362085e-06,0
0.168,0,-1.32434301362085e-06,0
0.169,0,9.76977256854222e-07,0
0.17,0,-3.09964718047481e-06,0
0.171,0,-8.03104745398636e-06,0
0.172,0,-4.41468728067601e-06,0
0.173,0,3.80431367324859e-06,0
0.174,0,1.76600136371259e-06,0
0.175,0,1.22201149236961e-07,0
0.176,0,2.68652949751829e-06,0
0.177,0,1.04272926548323e-06,0
0.178,0,1.43724131831032e-06,0
